course,lecturer,group,classroom
Public Relations,Inż. Piotr Lewandowski,ZUQ.GU2.CGD.1182.WMT,H369
Porównawcze systemy ekonomiczne,Prof. Zofia Wójcik,EYU.DT6.TBC.3104.SJC,C320
Ład korporacyjny,Prof. Katarzyna Wójcik,KKP.JU7.EYR.2227.KQM,G311
Polityka ekonomiczna,Inż. Piotr Szymański,DLR.JR8.DZW.1254.CDR,B300
Badania operacyjne,Mgr. Maria Kamińska,QMY.KY7.WGH.8609.ZNW,F345
Systemy zarządzania bazami danych,Dr hab. Piotr Szymański,HPC.JR1.ZWN.0497.ITX,B165
Etyczne hackowanie dla biznesu,Prof. Maria Wójcik,ZVU.EW0.CTR.9110.EWA,H134
Zaawansowana wizualizacja danych,Mgr. Maria Lewandowska,WMW.LV5.FDE.5907.GSM,B198
Tworzenie stron internetowych,Inż. Andrzej Kowalski,SBW.SS1.DHE.0691.GYW,H361
Optymalizacja dla wyszukiwarek (SEO),Inż. Katarzyna Dąbrowska,GSG.YE2.ZAC.2685.EQS,B165
Design Thinking,Mgr. Maria Kamińska,SUB.TT7.GRJ.1897.VEF,B300
Python dla biznesu,Prof. Maria Woźniak,SIL.DJ6.TIA.8325.HAB,B379
Teoria makroekonomiczna,Mgr. Piotr Dąbrowski,PZE.RY4.CHC.5436.UUE,H112
Kanały dystrybucji,Inż. Piotr Szymański,SUB.TT7.GRJ.1897.VEF,C242
Przedsiębiorczość,Prof. Anna Nowak,EWE.GX2.ODV.7316.WMH,B209
Zarządzanie talentami,Prof. Zofia Miodowska,LPO.ZX7.QIO.9979.UXG,H112
Design Thinking,Mgr. Jan Wiśniewski,EYU.DT6.TBC.3104.SJC,A136
Analiza inwestycji,Dr. Katarzyna Zielińska,AXZ.MB6.PWL.5112.TTC,D106
Relacje z pracownikami,Dr hab. Marek Dąbrowski,YDD.CP0.OJM.7964.RBU,H236
Sprawozdawczość korporacyjna,Mgr. Andrzej Kamiński,KPV.VI2.CKL.1138.HHL,E286
Zintegrowana komunikacja marketingowa,Mgr. Jan Szymański,APJ.FY5.UFT.6300.ONQ,F149
Podstawy zarządzania,Mgr. Maria Dąbrowska,XYT.KV1.MLL.5989.YUU,B209
Zarządzanie operacyjne,Dr. Marek Zieliński,XOO.YT3.SUV.4283.UGS,A396
Marketing usług,Mgr. Piotr Szymański,NTV.KM5.ZHF.9246.EXE,A396
Zarządzanie lotnictwem,Inż. Zofia Woźniak,FVH.RS5.VOJ.2504.IIT,F124
Analiza inwestycji,Inż. Katarzyna Wiśniewska,LMG.DA0.DJG.7897.GPB,H365
Optymalizacja procesów biznesowych,Mgr. Katarzyna Szymańska,NLV.OV9.QAI.8440.KNY,H235
Planowanie finansowe,Mgr. Maria Kamińska,FZR.NM3.HNC.2615.WZA,B299
Zrozumienie konsumentów,Mgr. Andrzej Kamiński,RCL.ZP0.JZD.7000.IYU,A136
Rozwój organizacyjny,Inż. Maria Dąbrowski,HKZ.GL3.BJB.4801.KBY,H365
Rachunkowość zarządcza,Prof. Tomasz Wójcik,TML.NS4.BCX.5709.BLF,C320
Zrozumienie konsumentów,Mgr. Tomasz Nowakiewicz,SEL.QF9.EMP.1242.OKU,A135
Analiza biznesowa,Mgr. Piotr Wójcik,QKS.EA3.WMI.4507.BGM,B135
Przywództwo w biznesie i strategia,Mgr. Andrzej Kamiński,WBC.DH0.CXH.7567.ATZ,H361
Zarządzanie projektami IT,Inż. Andrzej Nowak,QKX.MM9.YVF.9122.IPU,H361
Zarządzanie strategiczne,Inż. Jan Nowak,DEN.CL3.POI.0792.DSS,H134
Python dla biznesu,Mgr. Piotr Lewandowski,KCV.VP1.FTH.8857.TDY,H264
Relacje z mediami,Dr. Maria Dąbrowska,TUX.QM4.RBR.3097.WGK,H101
Ekonomia przemysłowa,Prof. Jan Szymański,TII.HI5.FBF.3936.SZJ,H186
Ekonomia środowiskowa,Inż. Tomasz Kowalski,YSH.CI5.YEG.5108.TOL,A129
Zarządzanie polem namiotowym,Dr. Marek Lewandowski,VQP.LJ5.WEO.1716.XWJ,E286
Różnorodność w miejscu pracy,Inż. Jan Nowak,QSN.MI8.RAT.1792.MAV,D333
Zarządzanie lotnictwem,Dr. Katarzyna Szyszka,SQP.BM5.PGL.5320.VYF,B243
Analiza papierów wartościowych,Mgr. Jan Wiśniewski,TUT.BO9.PPN.5857.JDI,B165
Tworzenie treści cyfrowych,Mgr. Anna Zielińska,SWG.KD4.MEK.9582.KWP,D280
Inteligentna logistyka,Mgr. Piotr Lewandowski,JQM.JQ3.SLG.1668.ZTT,C379
Ekonometria,Dr. Anna Lewandowska,TZY.YT4.LMI.6309.TTF,B198
Analiza danych,Dr hab. Piotr Nowak,LDI.OF2.CEP.1023.VYW,E233
Relacje przemysłowe,Mgr. Piotr Kamień,UZL.LB0.AQE.7323.UPI,E381
Finanse publiczne,Inż. Zofia Dąbrowska,XGD.AR0.ANY.5116.CIL,E385
Planowanie strategiczne marketingu,Mgr. Piotr Szymański,PLH.LQ3.MTC.3521.PGO,F149
Zaawansowane finanse przedsiębiorstw,Dr. Piotr Dąbrowski,CFZ.ID0.BEZ.3781.RGX,E348
Negocjacje i rozwiązywanie konfliktów,Dr. Marek Lewandowski,VEQ.VX8.OYN.3058.DWG,E385
Logistyka portowa i morska,Dr. Marek Lewandowski,NHT.TT7.RJR.0906.MSZ,B300
Przetwarzanie w chmurze,Inż. Andrzej Kowalski,YPI.UT8.WNQ.9042.LCR,B135
Analiza sprawozdań finansowych,Dr. Zofia Woźniakowska,ZAZ.HH8.VMQ.0774.KOW,A358
Podstawy zarządzania polem namiotowym,Dr hab. Andrzej Lewandowski,LUN.TR2.DAP.9566.KDS,A180
Analiza ryzyka finansowego,Inż. Katarzyna Wiśniewska,EDK.VE5.MBM.5514.LJK,D271
Regulacje dotyczące prywatności danych,Mgr. Tomasz Dąbkowski,FUB.SC2.STJ.5039.YMI,A242
Tworzenie stron internetowych,Mgr. Jan Wiśniewski,FRN.RT0.YRW.7844.INO,A358
Zaawansowana strategia marketingowa,Dr hab. Ewa Zielińska,YMH.LK9.BNM.4167.MHF,C245
Modelowanie predykcyjne,Inż. Ewa Dąbrowska,RSQ.YZ3.EGU.5784.EXO,A242
Ekonomia monetarna,Dr. Piotr Wiśniewski,SWG.KD4.MEK.9582.KWP,E353
Bankowość i usługi finansowe,Inż. Andrzej Nowak,NHT.TT7.RJR.0906.MSZ,D160
Rozwój organizacyjny,Dr hab. Zofia Szymanowska,UEW.BV1.YXK.3683.TGY,H369
Socjologia organizacji,Mgr. Piotr Lewandowski,PQI.RE0.JLJ.2117.PNV,G210
Zarządzanie zasobami ludzkimi,Dr. Piotr Wiśniewski,MVS.HR6.FRH.7803.YTL,D271
Systemy wynagrodzeń i benefitów,Dr hab. Piotr Szymański,XGD.AR0.ANY.5116.CIL,H251
Cyberbezpieczeństwo w biznesie,Dr. Marek Dąbrowski,JQG.HO1.SYW.0202.VDD,F208
Przemysły kreatywne,Mgr. Piotr Wójcik,OUP.UT9.PJN.3348.FCR,B165
Zarządzanie projektami IT,Mgr. Jan Wiśniewski,JKN.PY2.ZVG.0111.BAP,B299
Strategie rekrutacyjne,Mgr. Jan Wiśniewski,EZE.KI2.VAU.3851.CQF,C105
Innowacja w modelach biznesowych,Dr. Piotr Woźniak,KDP.BC8.VXT.8146.OUS,A136
Zarządzanie danymi klientów,Dr. Katarzyna Zielińska,EWA.HP7.WCN.5830.EAO,F370
Etyka w finansach,Mgr. Jan Szymański,EWE.GX2.ODV.7316.WMH,B209
Prognozowanie sprzedaży,Inż. Ewa Dąbrowska,ETE.RG4.ZJW.8466.LMA,F370
Sprawozdawczość korporacyjna,Inż. Katarzyna Zielińska,QYC.YJ4.TUT.5534.TQY,D255
Marketing międzynarodowy,Mgr. Tomasz Kamiński,HVT.AU4.ZYZ.2948.MBF,B209
Efektywne przywództwo zespołowe,Dr. Zofia Lewandowska,IFM.NY9.YNX.6019.RXM,H211
Budowanie marki online,Mgr. Maria Lewandowska,TPC.EZ6.MLQ.1489.NSW,F229
Modelowanie predykcyjne,Dr. Maria Dąbrowska,HVT.AU4.ZYZ.2948.MBF,C332
Zarządzanie łańcuchem dostaw,Dr hab. Piotr Szymański,IDX.LQ3.VQU.4220.PYO,E233
Ekonomia środowiskowa,Prof. Katarzyna Wójcik,FZM.DZ8.UXQ.8836.LIA,E173
Etyczne hackowanie dla biznesu,Inż. Ewa Dąbrowska,GSG.YE2.ZAC.2685.EQS,E354
Bankowość i usługi finansowe,Dr hab. Anna Wiśniewska,DTX.YL0.PXJ.2128.IQD,D191
Przetwarzanie w chmurze,Inż. Piotr Lewandowski,TQM.HD9.EEI.3934.STN,E211
Rozwój organizacyjny,Prof. Zofia Kowalska,HKZ.GL3.BJB.4801.KBY,H264
Teoria gier,Prof. Maria Woźniak,FZM.DZ8.UXQ.8836.LIA,E385
Relacje przemysłowe,Dr hab. Piotr Szymański,PMX.UE0.TNS.7951.MCF,A358
Socjologia organizacji,Prof. Maria Wójcik,XQD.MI2.CVZ.9064.MCT,B165
Zarządzanie ryzykiem,Dr. Marek Zieliński,OUP.UT9.PJN.3348.FCR,F244
Metody ilościowe w biznesie,Prof. Ewa Lewandowska,GDX.IX2.BAD.6731.ASO,B165
Analiza dużych zbiorów danych,Mgr. Zofia Kowalska,OFE.KR6.JQI.4517.RMA,F149
Python dla biznesu,Mgr. Jan Lewandowski,UIK.YG2.MZB.0483.FSE,E353
Prawo gospodarcze,Dr. Piotr Woźniak,MSD.KD5.SIQ.3688.DTR,H101
Etyczne hackowanie dla biznesu,Dr hab. Anna Wiśniewska,XQD.MI2.CVZ.9064.MCT,F328
Zarządzanie kryzysowe,Inż. Katarzyna Dąbrowska,RSQ.YZ3.EGU.5784.EXO,E348
Kapitał podwyższonego ryzyka,Prof. Marek Lewandowski,CPU.AW1.GOQ.7175.XAG,C143
Zarządzanie jakością,Prof. Katarzyna Wójcik,VLD.ZP1.WLX.5189.UUC,F208
Technologia łańcucha dostaw,Dr. Marek Kamiński,OBB.VH5.LUN.0250.ZGC,E165
Wprowadzenie do makroekonomii,Inż. Andrzej Nowak,JQG.HO1.SYW.0202.VDD,H134
Planowanie mediów,Dr. Katarzyna Szymańska,ONB.OI9.BTJ.4024.QSE,B394
Finanse łańcucha dostaw,Dr. Zofia Woźniakowska,XLS.QK5.QSN.6714.RMY,E286
Rachunkowość zarządcza,Dr. Maria Dąbrowska,VQP.LJ5.WEO.1716.XWJ,C105
Zarządzanie marką,Dr hab. Marek Dąbrowski,EGA.TU9.VRT.2826.QYN,A242
Rachunkowość zarządcza,Mgr. Maria Dąbrowska,UWR.OR4.NYJ.8726.KYV,H327
Zarządzanie projektami,Prof. Maria Woźniak,TBY.BS8.FEW.2939.JYI,E282
Zarządzanie reklamą,Dr. Marek Woźniak,VLD.ZP1.WLX.5189.UUC,H203
Optymalizacja aplikacji mobilnych,Mgr. Jan Wiśniewski,TUX.QM4.RBR.3097.WGK,A188
Etyka w finansach,Dr. Piotr Dąbrowski,ASA.ZH3.YPJ.4121.BXE,C328
Efektywne przywództwo zespołowe,Inż. Zofia Dąbrowska,UWR.OR4.NYJ.8726.KYV,F142
Efektywne przywództwo zespołowe,Mgr. Zofia Wiśniewska,EHK.JR4.LDZ.7467.NJL,H361
Analiza ryzyka finansowego,Inż. Marek Szymański,TPC.EZ6.MLQ.1489.NSW,H236
Visual Basic dla aplikacji,Mgr. Jan Szymański,NDM.CD3.UAP.5426.RMJ,E385
Zarządzanie talentami,Dr hab. Piotr Nowakowski,UDT.FC6.DKR.6724.SZY,E233
Zarządzanie projektami IT,Prof. Jan Szymański,GOP.OU5.DLB.8286.QFC,G364
Analiza szeregów czasowych,Dr hab. Marek Dąbrowski,JKN.PY2.ZVG.0111.BAP,B135
Socjologia organizacji,Dr. Piotr Dąbrowski,GQA.DX2.YJU.0455.RKZ,D255
Modelowanie finansowe,Mgr. Anna Lewandowska,MSD.KD5.SIQ.3688.DTR,D333
Analiza inwestycji,Dr. Zofia Lewandowska,OFE.KR6.JQI.4517.RMA,G277
Analiza szeregów czasowych,Prof. Jan Szymański,OOG.CU9.LTX.5149.CYJ,D255
Socjologia organizacji,Dr. Zofia Woźniakowska,XQD.MI2.CVZ.9064.MCT,E173
Zarządzanie portfelem,Dr hab. Maria Lewandowska,CPU.AW1.GOQ.7175.XAG,F328
Public Relations,Prof. Zofia Zielińska,SWG.KD4.MEK.9582.KWP,F149
Modelowanie predykcyjne,Prof. Anna Nowak,EWA.HP7.WCN.5830.EAO,H365
Statystyka I,Mgr. Marek Wójcik,RYC.KE6.EHH.8944.IOK,D271
Zarządzanie łańcuchem dostaw,Inż. Jan Nowak,LFY.RT1.MVS.7881.FOJ,D160
Relacje przemysłowe,Prof. Marek Wójcik,NOY.KB2.GLS.8276.NTK,A136
Zamówienia publiczne,Dr hab. Tomasz Woźniak,TQM.HD9.EEI.3934.STN,A335
Prawo gospodarcze,Prof. Tomasz Dąbrowski,KRE.WO3.CZH.9033.RII,B226
Kanały dystrybucji,Dr. Piotr Woźniak,VDE.AE4.WYJ.7711.NPT,A358
Optymalizacja procesów biznesowych,Dr. Maria Zieliński,JEA.JB5.MHM.9323.KHY,E183
Strategie cenowe,Mgr. Tomasz Polak,GKO.HO2.HMH.3308.RSM,E286
Zarządzanie zmianą,Inż. Katarzyna Wiśniewska,UZL.LB0.AQE.7323.UPI,E211
Strategie cenowe,Mgr. Jan Lewandowski,GSG.YE2.ZAC.2685.EQS,A208
Historia gospodarcza,Prof. Zofia Wójcik,XXS.EZ2.OIQ.3916.YLB,F205
Socjologia organizacji,Dr hab. Andrzej Wójcik,LLO.ZY4.WVH.2797.XDC,B226
Analiza papierów wartościowych,Mgr. Zofia Kowalska,GKO.HO2.HMH.3308.RSM,H134
Zarządzanie ryzykiem,Mgr. Piotr Dąbrowski,IJW.BB3.HET.3202.BQI,B190
Komunikacja interpersonalna,Inż. Tomasz Kowalski,GQA.DX2.YJU.0455.RKZ,H112
Zarządzanie marką,Mgr. Piotr Szymański,IFN.BI7.TAV.5742.WQF,G389
Zarządzanie zasobami ludzkimi,Mgr. Maria Dąbrowska,SQP.TV7.URO.4305.QVL,B300
Analiza dużych zbiorów danych,Dr hab. Marek Dąbrowski,ZFT.RD7.FTV.1813.RKV,E282
Sieci komputerowe,Prof. Marek Lewandowski,NDM.CD3.UAP.5426.RMJ,H236
Visual Basic dla aplikacji,Mgr. Tomasz Szymański,KSE.CS3.URP.5488.MSK,F142
Prognozowanie sprzedaży,Dr hab. Maria Wójcik,YPI.UT8.WNQ.9042.LCR,G311
Etyka biznesu,Mgr. Maria Lewandowska,OUP.UT9.PJN.3348.FCR,F124
Zarządzanie polem namiotowym,Mgr. Piotr Wójcik,EZE.KI2.VAU.3851.CQF,G364
Zachowania konsumentów,Dr. Maria Lewandowska,FRN.RT0.YRW.7844.INO,C245
Systemy informacyjne zarządzania,Dr. Maria Dąbrowska,LMG.DA0.DJG.7897.GPB,G252
Teoria mikroekonomiczna,Mgr. Marek Wójcik,KFC.GX1.OCI.3890.MTV,E381
Zaawansowane praktyki HR,Inż. Katarzyna Wiśniewska,BNT.IW7.OSL.3405.NVE,E173
Strategia wprowadzania nowego produktu,Prof. Tomasz Wójcik,VYS.XC2.XEW.5584.LDS,E183
Podstawy zarządzania polem namiotowym,Mgr. Zofia Wiśniewska,PLH.LQ3.MTC.3521.PGO,D106
Rozwój organizacyjny,Mgr. Piotr Kamień,ZBD.VA1.MYH.5403.BLV,E186
Społeczna odpowiedzialność biznesu,Dr. Zofia Lewandowska,REY.EF1.LDG.3382.AKB,E385
Techniki negocjacyjne,Dr. Maria Lewandowska,ZAZ.HH8.VMQ.0774.KOW,G277
Etyka w finansach,Mgr. Tomasz Szymański,RHU.GJ7.UZX.9301.XAD,B384
Ekonomia nieruchomości,Prof. Piotr Kowalski,KDP.BC8.VXT.8146.OUS,B120
Komunikacja interpersonalna,Dr. Andrzej Wiśniewski,WYI.TL2.TFF.6186.JHL,H203
Raportowanie zrównoważonego rozwoju,Inż. Anna Kowalska,LPO.ZX7.QIO.9979.UXG,B340
Teoria makroekonomiczna,Dr hab. Zofia Szymanowska,WPF.BA4.HUF.2508.ZCE,F205
Planowanie strategiczne marketingu,Mgr. Tomasz Polak,IDX.LQ3.VQU.4220.PYO,C332
Zrównoważony rozwój,Dr hab. Piotr Szymański,HVT.AU4.ZYZ.2948.MBF,H211
Zarządzanie danymi klientów,Inż. Jan Nowak,JQM.JQ3.SLG.1668.ZTT,A261
Marketing cyfrowy,Dr. Maria Lewandowska,MVS.HR6.FRH.7803.YTL,C379
Analiza danych,Dr. Piotr Woźniak,JEA.JB5.MHM.9323.KHY,F205
Zaawansowane badania konsumenckie,Prof. Zofia Kowalska,IAN.EB9.HAN.4884.THC,A335
Sieci komputerowe,Inż. Piotr Lewandowski,WCZ.ZI6.EIL.6927.ANQ,A136
Copywriting i kreatywne pisanie,Inż. Jan Nowak,KSE.CS3.URP.5488.MSK,F208
Zintegrowana komunikacja marketingowa,Dr. Zofia Woźniakowska,UXG.UH4.KAL.6970.LCC,C242
Teoria makroekonomiczna,Inż. Andrzej Kowalski,VVK.PE9.VAU.7412.MSK,D106
Zarządzanie lotnictwem,Prof. Zofia Kowalska,DLR.JR8.DZW.1254.CDR,E282
Rachunek kosztów,Inż. Piotr Lewandowski,CQO.ZF5.MEI.7798.VHM,B300
Technologie finansowe (FinTech),Prof. Marek Lewandowski,QIL.FU4.CXU.0990.XKN,B135
Zarządzanie logistyką,Dr. Maria Zieliński,HKX.SN9.IAC.7326.USM,H211
Logistyka portowa i morska,Mgr. Tomasz Polak,OFP.WJ0.LRJ.9559.RJH,D255
Analiza danych,Inż. Zofia Woźniak,SGT.TY6.GYI.6888.DBD,G389
Etyka w finansach,Mgr. Tomasz Polak,CQO.ZF5.MEI.7798.VHM,A358
Efektywne przywództwo zespołowe,Mgr. Piotr Lewandowski,PMP.CC8.WON.1917.TGB,G364
Polityka ekonomiczna,Dr. Piotr Wiśniewski,BKM.SW8.AXI.5980.EIA,A358
Zasady audytu,Inż. Piotr Szymański,YSH.CI5.YEG.5108.TOL,B384
Prognozowanie sprzedaży,Mgr. Maria Kamińska,GDX.IX2.BAD.6731.ASO,G155
Rachunek kosztów,Prof. Ewa Lewandowska,YDD.CP0.OJM.7964.RBU,D191
Sprawozdawczość korporacyjna,Mgr. Zofia Wiśniewska,PIY.GW7.POE.7887.AIN,C328
Zaawansowane techniki Excela,Mgr. Maria Dąbrowska,EWA.HP7.WCN.5830.EAO,B394
Środowisko prawne biznesu,Dr hab. Marek Zieliński,HVT.AU4.ZYZ.2948.MBF,B396
Optymalizacja procesów biznesowych,Mgr. Katarzyna Szymańska,GUJ.XX5.AAH.6247.ETG,C143
Kreatywność i innowacje,Inż. Piotr Lewandowski,WZU.CW1.XTG.3642.WUL,G364
Zarządzanie polem namiotowym,Inż. Tomasz Kowalski,UEW.BV1.YXK.3683.TGY,C379
Finanse przedsiębiorstw,Mgr. Piotr Wójcik,IYN.XL7.DFR.6478.FRH,B209
Zaawansowane techniki Excela,Dr. Maria Zieliński,NOY.KB2.GLS.8276.NTK,B165
Lean Management,Dr. Maria Dąbrowska,BFN.OF8.PWR.0279.RWQ,E211
Zrozumienie konsumentów,Prof. Maria Szymańska,FZG.ZU8.QCV.7696.WAK,H365
Rozwój organizacyjny,Inż. Katarzyna Zielińska,WXD.JE6.FNR.6501.HUF,A335
Społeczna odpowiedzialność biznesu,Mgr. Jan Szymański,JIC.UT3.KQX.0426.JOR,E282
Wprowadzenie do nauki o danych,Mgr. Tomasz Nowakiewicz,RLG.ZU1.UWL.6089.NVU,D264
Ład korporacyjny,Dr hab. Andrzej Lewandowski,SUL.IP4.RGW.7174.FMM,B193
Podstawy zarządzania polem namiotowym,Dr. Zofia Woźniakowska,UUL.ZS0.SES.3286.KDH,D106
Zarządzanie ryzykiem,Mgr. Piotr Lewandowski,SBW.SS1.DHE.0691.GYW,H211
Zrozumienie konsumentów,Dr hab. Andrzej Lewandowski,LUN.TR2.DAP.9566.KDS,F328
Analiza danych,Dr hab. Marek Dąbrowski,EDK.VE5.MBM.5514.LJK,B243
Przemysły kreatywne,Prof. Tomasz Dąbrowski,IPF.ES4.EHB.4201.SBL,G252
Studia kulturowe,Prof. Zofia Kowalska,FUB.SC2.STJ.5039.YMI,B209
Użycie oprogramowania statystycznego,Prof. Piotr Nowak,UAI.ZW4.SWQ.5904.BWV,B379
Ekonomia transportu,Prof. Zofia Zielińska,QEK.CB5.XJY.6186.CBI,H112
Copywriting i kreatywne pisanie,Inż. Ewa Dąbrowska,DEN.CL3.POI.0792.DSS,B226
Prognozowanie sprzedaży,Dr. Katarzyna Szyszka,SEL.QF9.EMP.1242.OKU,B396
Odpowiedzialność społeczna przedsiębiorstw,Dr. Maria Zieliński,XOO.YT3.SUV.4283.UGS,D205
Cyberbezpieczeństwo w biznesie,Dr. Katarzyna Szyszka,HVT.AU4.ZYZ.2948.MBF,B120
Zarządzanie projektami,Prof. Anna Nowak,SQP.TV7.URO.4305.QVL,F208
Wprowadzenie do nauki o danych,Inż. Jan Szymański,CFZ.ID0.BEZ.3781.RGX,E173
Zarządzanie jakością,Dr hab. Piotr Szymański,TUT.BO9.PPN.5857.JDI,H211
Planowanie zasobów przedsiębiorstwa,Prof. Anna Nowak,HKX.SN9.IAC.7326.USM,D271
Etyka w biznesie międzynarodowym,Inż. Zofia Dąbrowska,OOG.CU9.LTX.5149.CYJ,D352
Zarządzanie wydajnością,Mgr. Zofia Kowalska,XVM.TE8.QYI.1728.VAR,C143
Blockchain i kryptowaluty,Prof. Marek Lewandowski,CBZ.YK9.FTS.6484.FYG,E183
Studia kulturowe,Mgr. Katarzyna Szymańska,FZG.ZU8.QCV.7696.WAK,B243
Sprawozdawczość korporacyjna,Inż. Piotr Szymański,REY.EF1.LDG.3382.AKB,B226
Lean Management,Mgr. Zofia Wiśniewska,TBY.BS8.FEW.2939.JYI,B394
Zamówienia publiczne,Prof. Zofia Zielińska,JQG.HO1.SYW.0202.VDD,H327
Planowanie strategiczne marketingu,Mgr. Piotr Lewandowski,OIA.PL3.WUJ.5193.MRZ,F389
Strategia wprowadzania nowego produktu,Prof. Andrzej Szymański,EYU.DT6.TBC.3104.SJC,A326
Zielony łańcuch dostaw,Prof. Zofia Kowalska,EGA.TU9.VRT.2826.QYN,D264
Przemysły kreatywne,Prof. Tomasz Wójcik,OIA.PL3.WUJ.5193.MRZ,H211
Finanse publiczne,Dr. Marek Woźniak,GOP.OU5.DLB.8286.QFC,G389
Polityka ekonomiczna,Mgr. Zofia Wiśniewska,PTH.NO0.IXY.3726.FAA,A335
Finanse behawioralne,Prof. Ewa Lewandowska,OBB.VH5.LUN.0250.ZGC,F142
Inteligentna logistyka,Dr hab. Zofia Szymanowska,PLH.LQ3.MTC.3521.PGO,G240
Ekonomia transportu,Prof. Piotr Kowalski,FZG.ZU8.QCV.7696.WAK,H101
Analiza papierów wartościowych,Dr. Andrzej Wiśniewski,RFV.CH2.OLX.7492.FPO,G389
Przywództwo w biznesie i strategia,Inż. Jan Szymański,ZWX.OH6.XXJ.2173.BGM,D333
Przywództwo w biznesie i strategia,Dr. Katarzyna Zielińska,KEM.TL8.ZET.1963.BSS,B135
Analiza szeregów czasowych,Inż. Zofia Woźniak,SZY.OR3.WYO.6406.MXZ,A261
Zarządzanie danymi klientów,Mgr. Tomasz Nowakiewicz,DKO.TD1.EWS.3152.AOQ,D352
Statystyka II,Dr hab. Tomasz Woźniak,PZE.RY4.CHC.5436.UUE,D160
Społeczna odpowiedzialność biznesu,Prof. Piotr Kowalski,EWE.GX2.ODV.7316.WMH,E183
Doskonałość w obsłudze klienta,Inż. Katarzyna Dąbrowska,ZVU.EW0.CTR.9110.EWA,E233
Globalne strategie HR,Mgr. Piotr Kamień,OOG.CU9.LTX.5149.CYJ,G252
Biznes międzynarodowy,Mgr. Tomasz Kamiński,TZY.YT4.LMI.6309.TTF,C143
Gospodarka cyfrowa,Prof. Marek Lewandowski,WPF.BA4.HUF.2508.ZCE,B165
Teoria gier,Dr. Katarzyna Zielińska,SUL.IP4.RGW.7174.FMM,F345
Technologie finansowe (FinTech),Mgr. Andrzej Kamiński,LUN.TR2.DAP.9566.KDS,H361
Zarządzanie start-upami,Dr. Anna Zielińska,LKU.BN9.NAA.4285.QLQ,A396
Technologie finansowe (FinTech),Dr hab. Andrzej Wójcik,QSC.TR2.PPG.1283.PVD,D160
Zastosowania uczenia maszynowego,Dr. Anna Dąbrowska,KKC.JV9.IUT.2954.OAH,B379
Analiza decyzyjna,Mgr. Piotr Kamień,KKC.JV9.IUT.2954.OAH,B379
Regulacje rynków finansowych,Dr hab. Ewa Dąbrowska,RYC.KE6.EHH.8944.IOK,C379
Kapitał podwyższonego ryzyka,Mgr. Katarzyna Szymańska,HIH.IJ1.ZSL.5927.IMV,A396
Budowanie marki online,Prof. Ewa Lewandowska,JEA.JB5.MHM.9323.KHY,A326
Przemysły kreatywne,Inż. Zofia Wójcik,YBO.AF8.JWH.1455.XJM,G311
Technologie finansowe (FinTech),Dr hab. Maria Wójcik,TJM.NJ8.EFP.3457.XJN,H112
Regulacje dotyczące prywatności danych,Prof. Tomasz Dąbrowski,EKT.LI5.HQV.1107.OVS,F345
Gry symulacyjne w biznesie,Dr hab. Zofia Szymanowska,CQO.ZF5.MEI.7798.VHM,E282
Bankowość i usługi finansowe,Dr. Zofia Lewandowska,TJV.BQ7.GMX.2994.NOH,F139
Zielony łańcuch dostaw,Mgr. Marek Wójcik,XUT.PP4.WUP.5597.NPT,F106
Psychologia konsumenta,Mgr. Katarzyna Szymańska,JQM.JQ3.SLG.1668.ZTT,C379
Fuzje i przejęcia,Mgr. Anna Lewandowska,FCK.AU2.WAZ.6050.BTI,B226
Ekonomia środowiskowa,Inż. Zofia Dąbrowska,JIC.UT3.KQX.0426.JOR,G155
Zarządzanie operacyjne,Dr hab. Andrzej Wójcik,TQM.HD9.EEI.3934.STN,A136
Analiza papierów wartościowych,Mgr. Maria Lewandowska,IPF.ES4.EHB.4201.SBL,H112
Zasady audytu,Dr. Katarzyna Zielińska,TJV.BQ7.GMX.2994.NOH,H251
Ekonomia polityczna,Prof. Zofia Miodowska,UZL.LB0.AQE.7323.UPI,C245
Finanse behawioralne,Prof. Katarzyna Wójcik,HTK.LE6.AAW.1341.XLJ,D106
Zarządzanie start-upami,Prof. Marek Wójcik,XQD.MI2.CVZ.9064.MCT,C320
Prezentacje i wystąpienia publiczne,Mgr. Tomasz Szymański,UEW.BV1.YXK.3683.TGY,A129
Globalizacja i biznes,Inż. Andrzej Nowak,FRA.FN4.QZU.8710.HOY,C320
Negocjacje i rozwiązywanie konfliktów,Inż. Zofia Woźniak,MSD.KD5.SIQ.3688.DTR,D255
Ekonomia energetyczna,Dr hab. Tomasz Woźniak,RSQ.YZ3.EGU.5784.EXO,B243
Zachowania konsumentów,Dr hab. Marek Zieliński,PZE.RY4.CHC.5436.UUE,B165
Marketing usług,Prof. Zofia Wójcik,DZE.CI4.XLZ.8254.SJU,D280
Tworzenie stron internetowych,Dr. Piotr Woźniak,TML.NS4.BCX.5709.BLF,F244
Zarządzanie zdrowiem i bezpieczeństwem,Dr hab. Marek Zieliński,KGD.BI4.TOU.2717.LEW,B193
Ekonomia przemysłowa,Prof. Jan Szymański,EYU.DT6.TBC.3104.SJC,C320
Ekonomia polityczna,Dr. Anna Lewandowska,ZJD.US9.EGI.6635.HAH,H264
Zarządzanie zmianą,Dr. Piotr Dąbrowski,JQM.JQ3.SLG.1668.ZTT,B193
Analiza sprawozdań finansowych,Mgr. Anna Lewandowska,RHU.GJ7.UZX.9301.XAD,E211
